country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-18,-27,-2,-9,-34,-22,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-19,-29,0,-18,-35,-21,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-20,-28,-3,20,-27,-4,3
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-21,-38,-9,51,-23,-3,2
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-22,-22,-3,4,-32,-21,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-23,-24,-3,9,-33,-21,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-24,-20,-1,26,-29,-20,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-25,-18,3,41,-27,-20,6
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-26,-23,4,-2,-31,-19,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-27,-24,-1,13,-27,-2,3
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-02-28,-43,-12,12,-29,-3,3
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-01,-23,-3,-11,-34,-20,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-02,-22,-1,15,-32,-20,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-03,-20,0,21,-30,-20,6
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-04,-24,1,-8,-33,-20,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-05,-26,3,-14,-33,-19,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-06,-25,0,10,-29,-2,3
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-07,-48,-20,-16,-36,-5,4
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-08,-15,12,-9,-31,-20,6
