day of the week,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Number_of_people_hospitalized,Engaged_respirator
0.5,-0.20084335802046321,-0.2937732353261725,-0.26908635794743435,-0.474616292798111,0.3129056107779512,-0.3349966688886241,-0.33531594388698505
-0.5,0.13718481099362131,0.04088811925550079,-0.08085106382978723,-0.2266824085005903,0.06966236753470798,-0.33712790500557194,-0.3347365696112029
-0.3333333333333333,0.017466501134466378,-0.022856900664817933,0.06032540675844803,0.17827626918536013,-0.2006079027355623,-0.3346664773775477,-0.3347365696112029
-0.16666666666666666,0.12310030395136781,0.02495186427542111,0.21326658322903627,0.28571428571428575,-0.28168898381664337,-0.33355583320392695,-0.3329984467838564
0.0,0.12310030395136781,0.00901560929534143,0.013266583229036255,-0.0035419126328216973,-0.03844574057340014,-0.33391604212510123,-0.33444688247331184
0.16666666666666666,0.1019735433879875,0.00901560929534143,0.013266583229036255,-0.0035419126328216973,-0.011418713546373109,-0.3318148234182513,-0.3338675081975297
0.3333333333333333,0.09493128986686075,0.0010474818053015894,0.0015018773466833042,-0.0035419126328216973,-0.011418713546373109,-0.3352067907593091,-0.335026256749094
0.5,0.08788903634573399,0.005031545550321509,0.0015018773466833042,-0.011806375442739037,-0.011418713546373109,-0.33052407478404344,-0.3361850053006583
-0.5,0.0667622757823537,0.005031545550321509,-0.022027534418022535,-0.011806375442739037,-0.011418713546373109,-0.3294134306104227,-0.3361850053006583
-0.3333333333333333,0.031551008176719915,-0.01090470942975817,0.04856070087609511,0.21133412042502958,-0.14655384868150825,-0.3280626471560192,-0.3361850053006583
-0.16666666666666666,0.024508754655593146,-0.03082502815485777,0.04856070087609511,0.26092089728453366,-0.14655384868150825,-0.3296835873013034,-0.3364746924385494
0.0,0.10901579690911427,-0.0029365819397183307,-0.022027534418022535,-0.028335301062573762,-0.011418713546373109,-0.3290232042791506,-0.3361850053006583
0.16666666666666666,0.1442270645147481,0.028935928020441027,0.06032540675844803,-0.011806375442739037,-0.03844574057340014,-0.3278525252853342,-0.3373437538522226
0.3333333333333333,0.1019735433879875,-0.0029365819397183307,0.013266583229036255,-0.011806375442739037,-0.011418713546373109,-0.32704205521269203,-0.33821281526589586
